Targeted Security,Equivalent Security,Equivalent Rank
Vanguard Small-Cap ETF (VB),DFA US Small Cap Growth Portfolio (DSCGX),2
Vanguard Small-Cap ETF (VB),Fidelity Small Cap Index Fund (FSSNX),3
Vanguard Small-Cap ETF (VB),iShares Core S&P Small-Cap ETF (IJR),4
Vanguard Small-Cap ETF (VB),iShares Russell 2000 ETF (IWM),5
Vanguard Small-Cap ETF (VB),Schwab US Small-Cap ETF (SCHA),6
Vanguard Small-Cap ETF (VB),Vanguard Small-Cap Value ETF (VBR),7
Vanguard Small-Cap ETF (VB),Vanguard Small-Cap Index Fund (VSMAX),8
Vanguard Small-Cap ETF (VB),Vanguard Extended Market ETF (VXF),9
Vanguard FTSE Developed Markets ETF (VEA),DFA Large Cap International Portfolio (DFALX),1
Vanguard FTSE Developed Markets ETF (VEA),Dimensional World EX US Core Equity 2 ETF (DFAX),2
Vanguard FTSE Developed Markets ETF (VEA),International Core Equity 2 Portfolio (DFIEX),3
Vanguard FTSE Developed Markets ETF (VEA),DFA International Small Company Portfolio (DFISX),4
Vanguard FTSE Developed Markets ETF (VEA),DFA International Vector Equity Portfolio (DFVQX),5
Vanguard FTSE Developed Markets ETF (VEA),iShares MSCI EAFE ETF (EFA),6
Vanguard FTSE Developed Markets ETF (VEA),Fidelity International Index Fund (FSPSX),7
Vanguard FTSE Developed Markets ETF (VEA),iShares Core MSCI EAFE ETF (IEFA),8
Vanguard FTSE Developed Markets ETF (VEA),Schwab International Equity ETF (SCHF),9
Vanguard FTSE Developed Markets ETF (VEA),SPDR Portfolio Developed World ex-US ETF (SPDW),10
Vanguard FTSE Developed Markets ETF (VEA),Vanguard FTSE All-World ex-US ETF (VEU),11
Vanguard FTSE Developed Markets ETF (VEA),Vanguard Total International Stock Index Fund (VTIAX),12
Vanguard FTSE Developed Markets ETF (VEA),Vanguard Developed Markets Index Fund (VTMGX),13
Vanguard FTSE Developed Markets ETF (VEA),Vanguard Total International Stock ETF (VXUS),14
Vanguard S&P 500 ETF (VOO),Dimensional US Equity Market ETF (DFUS),1
Vanguard S&P 500 ETF (VOO),DFA US Large Company Portfolio (DFUSX),2
Vanguard S&P 500 ETF (VOO),Fidelity Total Market Index Fund (FSKAX),3
Vanguard S&P 500 ETF (VOO),Fidelity 500 Index Fund (FXAIX),4
Vanguard S&P 500 ETF (VOO),iShares Core S&P Total U.S. Stock Market ETF (ITOT),5
Vanguard S&P 500 ETF (VOO),iShares Core S&P 500 ETF (IVV),6
Vanguard S&P 500 ETF (VOO),iShares Russell 1000 ETF (IWB),7
Vanguard S&P 500 ETF (VOO),iShares Russell 3000 ETF (IWV),8
Vanguard S&P 500 ETF (VOO),Schwab US Broad Market ETF (SCHB),9
Vanguard S&P 500 ETF (VOO),Schwab US Large-Cap ETF (SCHX),10
Vanguard S&P 500 ETF (VOO),Schwab Fundamental U.S. Large Company Index Fund (SFLNX),11
Vanguard S&P 500 ETF (VOO),Schwab 1000 Index Fund (SNXFX),12
Vanguard S&P 500 ETF (VOO),SPDR S&P 500 ETF Trust (SPY),13
Vanguard S&P 500 ETF (VOO),State Street SPDR Portfolio S&P 500 ETF (SPYM),14
Vanguard S&P 500 ETF (VOO),Schwab S&P 500 Index Fund (SWPPX),15
Vanguard S&P 500 ETF (VOO),Schwab Total Stock Market Index Fund (SWTSX),16
Vanguard S&P 500 ETF (VOO),Vanguard 500 Index Fund (VFIAX),17
Vanguard S&P 500 ETF (VOO),Vanguard Institutional Index Fund (VIIIX),18
Vanguard S&P 500 ETF (VOO),Vanguard Total Stock Market ETF (VTI),19
